Abkhazians,Abkhazia
Afghans,Afghanistan
Ålanders,Åland
Albanians,Albania
Algerians,Algeria
American Samoans,American Samoa
Americans,United States of America
Andorrans,Andorra
Angolans,Angola
Anguillans,Anguilla
Antarctic residents, Antarcticans,Antarctica
Antiguans,Antigua and Barbuda
Argentines,Argentina
Argentinians,Argentina
Armenians,Armenia
Arubans,Aruba
Australians,Australia
Austrians,Austria
Azerbaijanis,Azerbaijan
Azeris,Azerbaijan
Bahamians,The Bahamas
Bahrainis,Bahrain
Bangladeshis,Bangladesh
Banyarwanda,Rwanda
Barbadians,Barbados
Barbudans,Antigua and Barbuda
Barthélemois,Saint Barthélemy
Barthélemoises,Saint Barthélemy
Barundi,Burundi
Basotho (singular Mosotho),Lesotho
Batswana (singular Motswana),Botswana
Belarusians,Belarus
Belgians,Belgium
Belizeans,Belize
Beninese,Benin
Beninois,Benin
Bermudans,Bermuda
Bermudians,Bermuda
Bhutanese,Bhutan
Bissau-Guineans,Guinea-Bissau
Bolivians,Bolivia
Bonaire Dutch,Bonaire
Bosnians,Bosnia and Herzegovina
Bouvet Islanders,Bouvet Island
Brazilians,Brazil
British,British Indian Ocean Territory
British people,United Kingdom of Great Britain and Northern Ireland
British Virgin Islanders,British Virgin Islands
Britons,United Kingdom of Great Britain and Northern Ireland
Bruneians,Brunei
Bulgarians,Bulgaria
Burkinabé,Burkina Faso
Burkinabè,Burkina Faso
Burundians,Burundi
Cabo Verdeans,Cabo Verde
Cambodians,Cambodia
Cameroonians,Cameroon
Canadians,Canada
Caymanians,Cayman Islands
Central Africans,Central African Republic
Chadians,Chad
Chileans,Chile
Chinese,China
Christmas Islanders,Christmas Island
Cocos Islanders,Cocos (Keeling) Islands
Colombians,Colombia
Comorans,Comoros
Comorians,Comoros
Congolese,Democratic Republic of the Congo
Congolese,Democratic Republic of the Congo
Cook Islanders,Cook Islands
Costa Ricans,Costa Rica
Croatians,Croatia
Croats,Croatia
Cubans,Cuba
Curaçaoans,Curaçao
Cypriots,Cyprus
Czechs,Czech Republic
Danes,Denmark
Djiboutians,Djibouti
Dominicans,Dominica
Dominicans,Dominica
Dutch,Netherlands
Dutchmen and Dutchwomen,Netherlands
Ecuadorians,Ecuador
Egyptians,Egypt
Emiratis,United Arab Emirates
Emiri,United Arab Emirates
Emirians,United Arab Emirates
English,England
Englishmen and Englishwomen,England
Equatoguineans,Equatorial Guinea
Equatorial Guineans,Equatorial Guinea
Eritreans,Eritrea
Estonians,Estonia
Ethiopians,Ethiopia
Europeans,European Union
Falkland Islanders,Falkland Islands
Faroese,Faroe Islands
Fijians,Fiji
Filipinas,Philippines
Filipinos,Philippines
Finns,Finland
Formosans,Taiwan[n]
French,France
French,France
French Guianese,French Guiana
French Polynesians,French Polynesia
Frenchmen and Frenchwomen,France
Futunans,Wallis and Futuna
Gabonaise,Gabon
Gabonese,Gabon
Gambians,The Gambia
Georgians,Georgia
Germans,Germany
Ghanaians,Ghana
Gibraltarians,Gibraltar
Greeks,Greece
Greenlanders,Greenland
Grenadians,Grenada
Guadeloupeans,Guadeloupe
Guadeloupians,Guadeloupe
Guamanians,Guam
Guatemalans,Guatemala
Guernseymen and Guernseywomen,Guernsey
Guineans,Guinea
Guyanese,Guyana
Habesha,Ethiopia
Haitians,Haiti
Heard Islanders,Heard Island and McDonald Islands
Hellenes,Greece
Herzegovinians,Bosnia and Herzegovina
Hondurans,Honduras
Hong Kongese,Hong Kong
Hongkongers,Hong Kong
Hungarians,Hungary
Icelanders,Iceland
I-Kiribati,Kiribati
Indians,India
Indonesians,Indonesia
Iranians,Iran
Iraqis,Iraq
Irish,Ireland
Irishmen and Irishwomen,Ireland
Israelis,Israel
Italians,Italy
Ivorians,Ivory Coast
Jamaicans,Jamaica
Jan Mayen residents,Jan Mayen
Japanese,Japan
Jèrriais,Jersey
Jerseymen and Jerseywomen,Jersey
Jersian,Jersey
Jordanians,Jordan
Kazakhs,Kazakhstan
Kazakhstanis,Kazakhstan
Kenyans,Kenya
Kirghiz,Kyrgyzstan
Kirgiz,Kyrgyzstan
Kittitians,Saint Kitts and Nevis
Koreans,North Korea
Koreans,North Korea
Kosovars,Kosovo[k]
Kuwaitis,Kuwait
Kyrgyz,Kyrgyzstan
Kyrgyzstanis,Kyrgyzstan
Laos,Laos
Laotians,Laos
Latvians,Latvia
Lebanese,Lebanon
Letts,Latvia
Liberians,Liberia
Libyans,Libya
Liechtensteiners,Liechtenstein
Lithuanians,Lithuania
Luxembourgers,Luxembourg
Macanese,Macau
Macedonians,North Macedonia
Magyars,Hungary
Mahorans,Mayotte
Malagasy, Madagascans,Madagascar
Malawians,Malawi
Malaysians,Malaysia
Maldivians,Maldives
Malians,Mali
Maltese,Malta
Manx,Isle of Man
Marshallese,Marshall Islands
Martiniquais,Martinique
Martiniquaises,Martinique
Mauritanians,Mauritania
Mauritians,Mauritius
McDonald Islanders,Heard Island and McDonald Islands
Mexicans,Mexico
Micronesians,Micronesia
Miquelonnais,Saint Pierre and Miquelon
Miquelonnaises,Saint Pierre and Miquelon
Moldovans,Moldova
Monacans,Monaco
Monégasques,Monaco
Mongolians,Mongolia
Mongols,Mongolia
Montenegrins,Montenegro
Montserratians,Montserrat
Moroccans,Morocco
Mozambicans,Mozambique
Myanmar,Myanmar[l]
Namibians,Namibia
Nauruans,Nauru
Nepalese,Nepal
Nepalis,Nepal
Netherlanders,Netherlands
Nevisians,Saint Kitts and Nevis
New Caledonians,New Caledonia
New Zealanders,New Zealand
Nicaraguans,Nicaragua
Nigerians,Nigeria
Nigeriens,Niger
Niueans,Niue
Ni-Vanuatu,Vanuatu
Norfolk Islanders,Norfolk Island
North Koreans,North Korea
Northern Irish,Northern Ireland
Northern Irishmen and Northern Irishwomen,Northern Ireland
Northern Marianans,Northern Mariana Islands
Norwegians,Norway
Omanis,Oman
Pakistanis,Pakistan
Palauans,Palau
Palestinians,Palestine
Panamanians,Panama
Papua New Guineans,Papua New Guinea
Papuans,Papua New Guinea
Paraguayans,Paraguay
Persians,Iran
Peruvians,Peru
Pitcairn Islanders,Pitcairn Islands
Poles,Poland
Portuguese,Portugal
Puerto Ricans,Puerto Rico
Qataris,Qatar
Réunionese,Réunion
Réunionnais and Réunionnaises,Réunion
Romanians,Romania
Russians,Russia[m]
Rwandans,Rwanda
Saba Dutch,Saba
Sahraouis,Western Sahara
Sahrawis,Sahrawi
Sahrawis,Sahrawi
Saint Helenians,Saint Helena, Ascension and Tristan da Cunha
Saint Lucians,Saint Lucia
Saint Vincentians,Saint Vincent and the Grenadines
Saint-Martinois,Saint Martin
Saint-Martinoises,Saint Martin
Saint-Pierrais,Saint Pierre and Miquelon
Saint-Pierraises,Saint Pierre and Miquelon
Salvadorans,El Salvador
Salvadoreans,El Salvador
Salvadorians,El Salvador
Sammarinese,San Marino
Samoans,Samoa
São Toméans,São Tomé and Príncipe
Saudi Arabians,Saudi Arabia
Saudis,Saudi Arabia
Scots,Scotland
Scotsmen and Scotswomen,Scotland
Senegalese,Senegal
Serbians,Serbia
Serbs,Serbia
Seychellois/Seychelloises,Seychelles
Sierra Leoneans,Sierra Leone
Singaporeans,Singapore
Sint Maarteners,Sint Maarten
Slovakians,Slovakia
Slovaks,Slovakia
Slovenes,Slovenia
Slovenians,Slovenia
Solomon Islanders,Solomon Islands
Somalilanders,Somaliland
Somalis,Somalia
South Africans,South Africa
South Georgia Islanders,South Georgia and the South Sandwich Islands
South Koreans,South Korea
South Ossetians,South Ossetia
South Sandwich Islanders,South Georgia and the South Sandwich Islands
South Sudanese,South Sudan
Spaniards,Spain
Sri Lankans,Sri Lanka
Statians,Sint Eustatius
Sudanese,Sudan
Surinamers,Suriname
Svalbard residents,Svalbard
Swazis,Eswatini
Swedes,Sweden
Swiss,Switzerland
Syrians,Syria
Taiwanese,Taiwan[n]
Tajikistanis,Tajikistan
Tajiks,Tajikistan
Tanzanians,Tanzania
Thai,Thailand
Timorese,East Timor
Timorese,East Timor
Tobagonians,Trinidad and Tobago
Togolese,Togo
Tokelauans,Tokelau
Tongans,Tonga
Trinidadians,Trinidad and Tobago
Tunisians,Tunisia
Turkmens,Turkmenistan
Turks,Turkey
Turks and Caicos Islanders,Turks and Caicos Islands
Tuvaluans,Tuvalu
U.S. Virgin Islanders,United States Virgin Islands
Ugandans,Uganda
Ukrainians,Ukraine
Uruguayans,Uruguay
Uzbekistanis,Uzbekistan
Uzbeks,Uzbekistan
Vaticanians,Vatican City
Venezuelans,Venezuela
Vietnamese,Vietnam
Vincentians,Saint Vincent and the Grenadines
Wallis and Futuna Islanders,Wallis and Futuna
Wallisians,Wallis and Futuna
Welshmen,Wales
Welshwomen,Wales
Western Saharans,Sahrawi
Yemenis,Yemen
Zambians,Zambia
Zanzibaris,Zanzibar
Zimbabweans,Zimbabwe
